交易年,消费大区,业务中类,首购订单数,复购订单数,唤醒订单数,会员数,作品数,款数,交易金额,交易件数,订单数,吊牌价均值,吊牌价标准差,吊牌价最小值,吊牌价10分位,吊牌价25分位,吊牌价中位数,吊牌价75分位,吊牌价90分位,吊牌价最大值,成交价均值,成交价标准差
2022,可隆-东北,POLO,847,1012,265,1758,3689,2332,2865293.48,3689,2124,999.72,281.57,464.74,647.76,816.7,999.72,1182.74,1351.68,1591.01,774.1,175.24
2022,可隆-东北,三合一夹克,599,566,230,1197,1993,947,6205304.31,1993,1395,3888.35,1127.16,1746.74,2479.39,3155.69,3888.35,4621.0,5297.3,6255.39,3001.99,696.59
2022,可隆-东北,其他,165,176,77,348,652,253,167231.32,652,418,307.72,79.73,156.23,208.06,255.89,307.72,359.54,407.38,475.15,253.71,45.61
2022,可隆-东北,卫衣,1177,1374,505,2463,4356,2142,3626794.46,4356,3056,1239.83,314.54,642.19,846.65,1035.37,1239.83,1444.28,1633.0,1900.37,797.57,192.45
2022,可隆-东北,抓绒夹克,382,607,132,795,1797,896,2127279.4,1797,1121,1850.36,271.51,1334.49,1510.97,1673.88,1850.36,2026.84,2189.75,2420.53,1258.35,262.71
2022,可隆-东北,棉服,672,910,121,1699,3197,1370,7412285.86,3197,1703,3349.88,830.4,1772.12,2311.88,2810.12,3349.88,3889.63,4387.87,5093.71,2363.8,614.42
2022,可隆-东北,短袖T恤,953,1568,263,2433,5148,2942,2634850.95,5148,2784,700.78,194.61,331.03,457.52,574.28,700.78,827.27,944.03,1109.45,558.84,123.81
2022,可隆-东北,短裤,305,684,92,951,1886,1160,960089.08,1886,1081,722.11,140.21,455.71,546.85,630.97,722.11,813.25,897.38,1016.56,521.69,103.39
2022,可隆-东北,羽绒服,698,854,142,1498,3073,2185,7952217.8,3073,1694,3484.57,658.6,2233.24,2661.33,3056.48,3484.57,3912.66,4307.82,4867.62,2714.48,367.6
2022,可隆-东北,衬衫,671,1024,245,1538,2957,1581,2217891.11,2957,1940,1145.22,178.89,805.32,921.6,1028.94,1145.22,1261.5,1368.84,1520.9,763.91,179.96
2022,可隆-东北,软壳夹克,655,1420,353,2109,3193,2315,5855664.89,3193,2428,2362.35,537.67,1340.78,1690.27,2012.87,2362.35,2711.84,3034.44,3491.46,1760.15,349.41
2022,可隆-东北,连衣裙,151,163,37,298,544,301,703212.42,544,351,1545.57,404.91,776.25,1039.44,1282.38,1545.57,1808.76,2051.71,2395.88,1286.84,179.51
2022,可隆-东北,配件,272,857,170,1209,1955,1118,579193.54,1955,1299,396.86,119.58,169.66,247.39,319.14,396.86,474.59,546.34,647.98,281.27,40.06
2022,可隆-东北,针织夹克,533,671,195,1130,2378,945,2335549.15,2378,1399,1437.15,294.8,877.03,1068.65,1245.53,1437.15,1628.77,1805.64,2056.22,986.08,132.16
2022,可隆-东北,长袖T恤,1214,1749,340,2912,5535,2659,3957999.41,5535,3303,929.6,254.76,445.55,611.15,764.0,929.6,1095.2,1248.06,1464.61,700.01,192.36
2022,可隆-东北,长裤,1357,1378,325,2732,5307,2481,4104464.0,5307,3060,1326.76,199.67,947.38,1077.17,1196.97,1326.76,1456.54,1576.34,1746.06,819.86,135.29
2022,可隆-东北,防水夹克,1280,2384,647,3310,5297,2640,10754251.79,5297,4311,2824.97,460.64,1949.75,2249.17,2525.56,2824.97,3124.39,3400.77,3792.32,2062.87,396.2
2022,可隆-东北,防风夹克,960,1008,180,1651,3543,1857,5811937.58,3543,2148,2366.17,401.37,1603.56,1864.45,2105.27,2366.17,2627.06,2867.88,3209.05,1695.92,215.7
2022,可隆-东北,鞋,622,1598,353,2125,3790,2212,5124543.11,3790,2573,1913.68,416.76,1121.85,1392.74,1642.79,1913.68,2184.57,2434.62,2788.87,1388.89,306.07
2022,可隆-东北,马夹,357,688,152,990,2184,1573,3583987.85,2184,1197,2042.8,502.07,1088.87,1415.21,1716.46,2042.8,2369.15,2670.39,3097.16,1529.14,225.23
2022,可隆-华东,POLO,1282,1620,314,2591,5668,2082,4224982.38,5668,3216,993.71,295.63,432.01,624.17,801.55,993.71,1185.87,1363.25,1614.53,743.43,190.45
2022,可隆-华东,三合一夹克,766,758,356,1788,2887,1035,9608132.44,2887,1880,4493.83,753.39,3062.39,3552.09,4004.13,4493.83,4983.54,5435.57,6075.96,3391.86,469.7
